Wojewodztwo,Lat,Long,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20
dolnoslaskie,51.107883,17.038538,40,53,58,66,79,97
kujawsko-pomorskie,53.123482,18.008438,8,11,14,18,18,20
lubelskie,51.246452,22.568445,22,25,28,31,39,44
lubuskie,51.935619,15.506186,3,9,9,9,11,16
lodzkie,51.759445,19.457216,42,48,57,91,106,111
malopolskie,50.049683,19.944544,6,7,14,16,24,31
mazowieckie,52.237049,21.017532,66,82,107,127,147,147
opolskie,50.671062,17.926126,9,10,10,10,14,19
podkarpackie,50.041187,21.999121,14,17,19,25,29,30
podlaskie,53.133331,23.164329,2,1,3,5,6,6
pomorskie,54.372158,18.638306,9,9,10,14,17,17
slaskie,50.270908,19.039993,30,42,46,56,66,74
swietokrzyskie,50.866077,20.628569,4,5,6,7,7,8
warminsko-mazurskie,53.770226,20.490189,11,12,17,20,22,22
wielkopolskie,52.409538,16.931992,13,15,18,31,36,36
zachodniopomorskie,53.428543,14.552812,8,9,9,10,12,14
